d,dbo_bench_ticker,dbo_dim_equity_ticker,dbo_benchvalue_value,dbo_dailyvalue_value
2008-01-02,SPX,GS,-0.01454312,-0.035257298
2008-01-02,SPTR,GS,-0.01433588,-0.035257298
2008-01-02,VIX,GS,0.02934303,-0.035257298
2008-01-03,SPX,GS,0,-0.01338417
2008-01-03,SPTR,GS,0.00000352,-0.01338417
2008-01-03,VIX,GS,-0.02978757,-0.01338417
2008-01-04,SPX,GS,-0.02485795,-0.024261955
2008-01-04,SPTR,GS,-0.02486074,-0.024261955
2008-01-04,VIX,GS,0.06247993,-0.024261955
2008-01-07,SPX,GS,0.00321804,-0.026353216
2008-01-07,SPTR,GS,0.00322757,-0.026353216
2008-01-07,VIX,GS,-0.00628538,-0.026353216
2008-01-08,SPX,GS,-0.01852268,-0.027225267
2008-01-08,SPTR,GS,-0.01818608,-0.027225267
2008-01-08,VIX,GS,0.06666426,-0.027225267
2008-01-09,SPX,GS,0.01353206,0.011803069
2008-01-09,SPTR,GS,0.01360929,0.011803069
2008-01-09,VIX,GS,-0.05288821,0.011803069
2008-01-10,SPX,GS,0.00791675,0.026554293
2008-01-10,SPTR,GS,0.0079351,0.026554293
2008-01-10,VIX,GS,-0.02817088,0.026554293
2008-01-11,SPX,GS,-0.0136887,0.009251077
2008-01-11,SPTR,GS,-0.01362951,0.009251077
2008-01-11,VIX,GS,0.00976032,0.009251077
2008-01-14,SPX,GS,0.01081199,0.014535841
2008-01-14,SPTR,GS,0.01081717,0.014535841
2008-01-14,VIX,GS,-0.0334939,0.014535841
2008-01-15,SPX,GS,-0.02524087,-0.042341899
2008-01-15,SPTR,GS,-0.02523331,-0.042341899
2008-01-15,VIX,GS,0.01903172,-0.042341899
2008-01-16,SPX,GS,-0.00562789,0.021547183
2008-01-16,SPTR,GS,-0.00551388,0.021547183
2008-01-16,VIX,GS,0.0435945,0.021547183
2008-01-17,SPX,GS,-0.02952421,-0.033570227
2008-01-17,SPTR,GS,-0.02948383,-0.033570227
2008-01-17,VIX,GS,0.15473647,-0.033570227
2008-01-18,SPX,GS,-0.00606373,-0.019937436
2008-01-18,SPTR,GS,-0.00604151,-0.019937436
2008-01-18,VIX,GS,-0.04601818,-0.019937436
2008-01-22,SPX,GS,-0.0111471,0.018418336
2008-01-22,SPTR,GS,-0.01114462,0.018418336
2008-01-22,VIX,GS,0.13182832,0.018418336
2008-01-23,SPX,GS,0.02121555,0.044613836
2008-01-23,SPTR,GS,0.02123973,0.044613836
2008-01-23,VIX,GS,-0.06632449,0.044613836
2008-01-24,SPX,GS,0.01001246,-0.000953454
2008-01-24,SPTR,GS,0.01003843,-0.000953454
2008-01-24,VIX,GS,-0.04366891,-0.000953454
2008-01-25,SPX,GS,-0.01599927,-0.038273162
2008-01-25,SPTR,GS,-0.01599137,-0.038273162
2008-01-25,VIX,GS,0.04573432,-0.038273162
2008-01-28,SPX,GS,0.01740353,0.025180299
2008-01-28,SPTR,GS,0.01741724,0.025180299
2008-01-28,VIX,GS,-0.04573432,0.025180299
2008-01-29,SPX,GS,0.00613343,-0.00101952
2008-01-29,SPTR,GS,0.0061876,-0.00101952
2008-01-29,VIX,GS,-0.0166973,-0.00101952
2008-01-30,SPX,GS,-0.00477539,0.012671378
2008-01-30,SPTR,GS,-0.00471029,0.012671378
2008-01-30,VIX,GS,0.01092111,0.012671378
2008-01-31,SPX,GS,0.01663316,0.005024357
2008-01-31,SPTR,GS,0.01679976,0.005024357
2008-01-31,VIX,GS,-0.05278074,0.005024357
2008-02-01,SPX,GS,0.01216322,0.040415192
2008-02-01,SPTR,GS,0.01216155,0.040415192
2008-02-01,VIX,GS,-0.08687259,0.040415192
2008-02-04,SPX,GS,-0.01051792,-0.034170208
2008-02-04,SPTR,GS,-0.01049634,-0.034170208
2008-02-04,VIX,GS,0.07882503,-0.034170208
2008-02-05,SPX,GS,-0.03251852,-0.056022354
2008-02-05,SPTR,GS,-0.03242403,-0.056022354
2008-02-05,VIX,GS,0.08302756,-0.056022354
2008-02-06,SPX,GS,-0.0076528,-0.014269324
2008-02-06,SPTR,GS,-0.007249,-0.014269324
