d,rf_str,mkt_str,smb_str,hml_str,umd_str
2001-01-02, 2.60000000707805E-04,-3.44999991357327E-02,-3.89999989420176E-03, 2.08999998867512E-02,-1.22999995946884E-02
2001-01-03, 2.60000000707805E-04, 5.27000017464161E-02, 9.70000028610229E-03,-.049100000411272,-7.27000012993813E-02
2001-01-04, 2.60000000707805E-04,-1.20999999344349E-02, 8.20000004023314E-03,-1.39999995008111E-03,-4.14999984204769E-02
2001-01-05, 2.60000000707805E-04,-2.91000008583069E-02, 2.70000007003546E-03, 2.41999998688698E-02, 6.59999996423721E-03
2001-01-08, 2.60000000707805E-04,-3.70000000111759E-03,-5.40000014007092E-03, 1.27999996766448E-02, 1.70000002253801E-03
2001-01-09, 2.60000000707805E-04, 4.60000010207295E-03, 4.30000014603138E-03,-2.60000000707805E-03,-.015599999576807
2001-01-10, 2.60000000707805E-04, 1.36000001803041E-02, 8.20000004023314E-03,-.014299999922514,-1.15999998524785E-02
2001-01-11, 2.60000000707805E-04, 1.47000001743436E-02, 1.60000007599592E-02,-3.08999996632338E-02,-2.88999993354082E-02
2001-01-12, 2.60000000707805E-04,-3.80000006407499E-03, 9.99999977648258E-03,-2.40000011399388E-03,-1.09999999403954E-02
2001-01-16, 2.60000000707805E-04, 6.00000005215406E-03, 1.16999996826053E-02,-4.10000002011657E-03, 5.00000023748726E-04
2001-01-17, 2.60000000707805E-04, 4.30000014603138E-03, 5.00000023748726E-04,-7.1000000461936E-03,-1.85000002384186E-02
2001-01-18, 2.60000000707805E-04, 1.20999999344349E-02,-1.79999996908009E-03,-1.04000000283122E-02,-1.98999997228384E-02
2001-01-19, 2.60000000707805E-04,-4.39999997615814E-03,-2.49999994412065E-03,-9.99999974737875E-05,-1.15999998524785E-02
2001-01-22, 2.60000000707805E-04, 0,-3.00000002607703E-03, 8.00000037997961E-03, 1.11999996006489E-02
2001-01-23, 2.60000000707805E-04, .015599999576807, 4.4999998062849E-03,-5.2000000141561E-03,-3.29999998211861E-03
2001-01-24, 2.60000000707805E-04, 3.00000002607703E-03,-4.30000014603138E-03,-3.00000002607703E-03,-1.09000001102686E-02
2001-01-25, 2.60000000707805E-04,-7.79999978840351E-03,-6.50000013411045E-03, 1.59000009298325E-02, .024100000038743
2001-01-26, 2.60000000707805E-04,-1.00000004749745E-03, 3.80000006407499E-03,-2.70000007003546E-03, 1.20000005699694E-03
2001-01-29, 2.60000000707805E-04, 8.70000012218952E-03, 6.20000017806888E-03,-3.89999989420176E-03,-.015599999576807
2001-01-30, 2.60000000707805E-04, 6.30000000819564E-03,-5.00000023748726E-04,-2.60000000707805E-03,-1.05999996885657E-02
