d,rf_str,mkt_str,smb_str,hml_str,umd_str
2005-01-03, 7.999999797903E-05,-1.00999996066093E-02,-5.59999980032444E-03,-1.9000000320375E-03,-6.69999979436398E-03
2005-01-04, 7.999999797903E-05,-1.29000004380941E-02,-5.70000009611249E-03, 4.90000005811453E-03, 2.49999994412065E-03
2005-01-05, 7.999999797903E-05,-6.20000017806888E-03,-1.05999996885657E-02, 9.99999974737875E-05, 9.99999974737875E-05
2005-01-06, 7.999999797903E-05, 3.40000004507601E-03,-1.39999995008111E-03, 1.70000002253801E-03, 5.00000023748726E-04
2005-01-07, 7.999999797903E-05,-2.30000005103648E-03,-7.49999983236194E-03,-3.00000014249235E-04,-1.70000002253801E-03
2005-01-10, 7.999999797903E-05, 4.10000002011657E-03, 2.40000011399388E-03, 1.5999999595806E-03, 6.89999992027879E-03
2005-01-11, 7.999999797903E-05,-6.3999998383224E-03,-3.1999999191612E-03, 3.50000010803342E-03, 3.00000002607703E-03
2005-01-12, 7.999999797903E-05, 4.10000002011657E-03,-7.999999797903E-04,-1.99999994947575E-04, 2.40000011399388E-03
2005-01-13, 7.999999797903E-05,-6.89999992027879E-03, 1.30000000353903E-03, 5.29999984428287E-03, 9.80000011622906E-03
2005-01-14, 7.999999797903E-05, 6.20000017806888E-03, 5.10000018402934E-03, 6.00000028498471E-04, 3.1999999191612E-03
2005-01-18, 7.999999797903E-05, 9.10000037401915E-03, 1.79999996908009E-03,-2.40000011399388E-03, 6.00000028498471E-04
2005-01-19, 7.999999797903E-05,-8.99999961256981E-03,-1.5999999595806E-03, 4.80000022798777E-03, 5.70000009611249E-03
2005-01-20, 7.999999797903E-05,-7.49999983236194E-03,-1.39999995008111E-03,-9.99999974737875E-05,-6.30000000819564E-03
2005-01-21, 7.999999797903E-05,-4.69999993219972E-03, 3.00000002607703E-03, 3.10000008903444E-03, 3.10000008903444E-03
2005-01-24, 7.999999797903E-05,-4.99999988824129E-03,-7.69999995827675E-03, 6.69999979436398E-03,-9.99999974737875E-05
2005-01-25, 7.999999797903E-05, 2.60000000707805E-03, 1.50000001303852E-03,-3.59999993816018E-03,-1.9000000320375E-03
2005-01-26, 7.999999797903E-05, 6.30000000819564E-03, 8.99999961256981E-03,-1.39999995008111E-03, 2.49999994412065E-03
2005-01-27, 7.999999797903E-05, 6.00000028498471E-04, 1.79999996908009E-03, 1.50000001303852E-03, 3.70000000111759E-03
2005-01-28, 7.999999797903E-05,-2.89999996311963E-03,-2.49999994412065E-03, 1.20000005699694E-03, 1.00000004749745E-03
2005-01-31, 7.999999797903E-05, 9.39999986439943E-03, 7.69999995827675E-03, 6.99999975040555E-04, 7.00000021606684E-03
2005-02-01, 7.999999797903E-05, 6.80000009015203E-03,-6.00000028498471E-04, 1.20000005699694E-03, 4.10000002011657E-03
2005-02-02, 7.999999797903E-05, 3.80000006407499E-03, 2.09999992512167E-03, 2.79999990016222E-03, 2.49999994412065E-03
2005-02-03, 7.999999797903E-05,-2.70000007003546E-03,-1.30000000353903E-03, 4.19999985024333E-03, 5.10000018402934E-03
2005-02-04, 7.999999797903E-05, 1.07000004500151E-02, 1.09999999403954E-03,-5.40000014007092E-03,-2.89999996311963E-03
2005-02-07, 7.999999797903E-05,-1.39999995008111E-03, 1.00000004749745E-03,-7.999999797903E-04,-3.00000002607703E-03
2005-02-08, 7.999999797903E-05, 1.09999999403954E-03, 2.0000000949949E-03,-6.00000028498471E-04, 7.999999797903E-04
2005-02-09, 7.999999797903E-05,-9.10000037401915E-03,-1.09999999403954E-02, 7.79999978840351E-03, 9.99999974737875E-05
2005-02-10, 7.999999797903E-05, 4.39999997615814E-03,-3.59999993816018E-03, 2.09999992512167E-03, 3.70000000111759E-03
2005-02-11, 7.999999797903E-05, 7.69999995827675E-03, 4.80000022798777E-03,-4.00000018998981E-03,-3.50000010803342E-03
2005-02-14, 7.999999797903E-05, 1.00000004749745E-03,-1.99999994947575E-04, 1.50000001303852E-03, 3.59999993816018E-03
2005-02-15, 7.999999797903E-05, 2.70000007003546E-03,-3.80000006407499E-03, 3.9999998989515E-04, 1.00000004749745E-03
2005-02-16, 7.999999797903E-05, 8.99999984540045E-04, 3.1999999191612E-03, 6.59999996423721E-03, 1.05999996885657E-02
