GICS Sectors,Total Weight Long,Total Weight Short,Net Portfolio Weight
NA,0.366197183,-0.253521127,0.112676056
Energy,0.014084507,-0.084507042,-0.070422535
Materials,0.014084507,-0.014084507,0
Industrials,0.056338028,-0.084507042,-0.028169014
Consumer Discretionary,0.098591549,-0.183098592,-0.084507042
Consumer Staples,0,-0.014084507,-0.014084507
Health Care,0.211267606,-0.14084507,0.070422535
Financials,0.084507042,-0.112676056,-0.028169014
Information Technology,0.154929577,-0.098591549,0.056338028
Grand Total,1,-0.985915493,0.014084507
