d,ticker,value,nt,nm_numtype,desc_numtype
2008-01-02,DJX,-0.01680073,1,r,Return
2008-01-02,DJX,130.44,2,p,Price
2008-01-02,DJX,0.164769045,9,vol_021,Volatility 1-month
2008-01-02,DJX,0.180982927,11,vol_063,Volatility 3-month
2008-01-03,DJX,0.00099613,1,r,Return
2008-01-03,DJX,130.57,2,p,Price
2008-01-03,DJX,0.164534979,9,vol_021,Volatility 1-month
2008-01-03,DJX,0.180804204,11,vol_063,Volatility 3-month
2008-01-04,DJX,-0.01987922,1,r,Return
2008-01-04,DJX,128,2,p,Price
2008-01-04,DJX,0.176794989,9,vol_021,Volatility 1-month
2008-01-04,DJX,0.184640986,11,vol_063,Volatility 3-month
2008-01-07,DJX,0.00210715,1,r,Return
2008-01-07,DJX,128.27,2,p,Price
2008-01-07,DJX,0.167271777,9,vol_021,Volatility 1-month
2008-01-07,DJX,0.184074971,11,vol_063,Volatility 3-month
2008-01-08,DJX,-0.01872891,1,r,Return
2008-01-08,DJX,125.89,2,p,Price
2008-01-08,DJX,0.167042443,9,vol_021,Volatility 1-month
2008-01-08,DJX,0.18728625,11,vol_063,Volatility 3-month
2008-01-09,DJX,0.01153069,1,r,Return
2008-01-09,DJX,127.35,2,p,Price
2008-01-09,DJX,0.174784922,9,vol_021,Volatility 1-month
2008-01-09,DJX,0.188038568,11,vol_063,Volatility 3-month
2008-01-10,DJX,0.00922314,1,r,Return
2008-01-10,DJX,128.53,2,p,Price
2008-01-10,DJX,0.176299667,9,vol_021,Volatility 1-month
2008-01-10,DJX,0.189073171,11,vol_063,Volatility 3-month
2008-01-11,DJX,-0.01940436,1,r,Return
2008-01-11,DJX,126.06,2,p,Price
2008-01-11,DJX,0.173476333,9,vol_021,Volatility 1-month
2008-01-11,DJX,0.192369239,11,vol_063,Volatility 3-month
2008-01-14,DJX,0.01355205,1,r,Return
2008-01-14,DJX,127.78,2,p,Price
2008-01-14,DJX,0.181730204,9,vol_021,Volatility 1-month
2008-01-14,DJX,0.19424849,11,vol_063,Volatility 3-month
2008-01-15,DJX,-0.0219163,1,r,Return
2008-01-15,DJX,125.01,2,p,Price
2008-01-15,DJX,0.192253391,9,vol_021,Volatility 1-month
2008-01-15,DJX,0.198119654,11,vol_063,Volatility 3-month
2008-01-16,DJX,-0.0028037,1,r,Return
2008-01-16,DJX,124.66,2,p,Price
2008-01-16,DJX,0.189108469,9,vol_021,Volatility 1-month
2008-01-16,DJX,0.198012194,11,vol_063,Volatility 3-month
2008-01-17,DJX,-0.0249353,1,r,Return
2008-01-17,DJX,121.59,2,p,Price
2008-01-17,DJX,0.200993806,9,vol_021,Volatility 1-month
2008-01-17,DJX,0.203369212,11,vol_063,Volatility 3-month
2008-01-18,DJX,-0.00494683,1,r,Return
2008-01-18,DJX,120.99,2,p,Price
2008-01-18,DJX,0.198492831,9,vol_021,Volatility 1-month
2008-01-18,DJX,0.20341244,11,vol_063,Volatility 3-month
2008-01-22,DJX,-0.01063575,1,r,Return
2008-01-22,DJX,119.71,2,p,Price
2008-01-22,DJX,0.199485414,9,vol_021,Volatility 1-month
2008-01-22,DJX,0.197970259,11,vol_063,Volatility 3-month
2008-01-23,DJX,0.0246702,1,r,Return
2008-01-23,DJX,122.7,2,p,Price
2008-01-23,DJX,0.222781538,9,vol_021,Volatility 1-month
2008-01-23,DJX,0.204761538,11,vol_063,Volatility 3-month
2008-01-24,DJX,0.00884423,1,r,Return
2008-01-24,DJX,123.79,2,p,Price
2008-01-24,DJX,0.216844675,9,vol_021,Volatility 1-month
2008-01-24,DJX,0.204928824,11,vol_063,Volatility 3-month
2008-01-25,DJX,-0.01399193,1,r,Return
2008-01-25,DJX,122.07,2,p,Price
2008-01-25,DJX,0.215488898,9,vol_021,Volatility 1-month
2008-01-25,DJX,0.206397859,11,vol_063,Volatility 3-month
2008-01-28,DJX,0.01439576,1,r,Return
2008-01-28,DJX,123.84,2,p,Price
2008-01-28,DJX,0.225165752,9,vol_021,Volatility 1-month
2008-01-28,DJX,0.208908056,11,vol_063,Volatility 3-month
2008-01-29,DJX,0.00772205,1,r,Return
2008-01-29,DJX,124.8,2,p,Price
2008-01-29,DJX,0.225773819,9,vol_021,Volatility 1-month
2008-01-29,DJX,0.208483545,11,vol_063,Volatility 3-month
2008-01-30,DJX,-0.00296915,1,r,Return
2008-01-30,DJX,124.43,2,p,Price
2008-01-30,DJX,0.22537937,9,vol_021,Volatility 1-month
2008-01-30,DJX,0.208123186,11,vol_063,Volatility 3-month
2008-01-31,DJX,0.016499,1,r,Return
2008-01-31,DJX,126.5,2,p,Price
2008-01-31,DJX,0.234991203,9,vol_021,Volatility 1-month
2008-01-31,DJX,0.211118311,11,vol_063,Volatility 3-month
2008-02-01,DJX,0.00732489,1,r,Return
2008-02-01,DJX,127.43,2,p,Price
2008-02-01,DJX,0.231009717,9,vol_021,Volatility 1-month
2008-02-01,DJX,0.210609449,11,vol_063,Volatility 3-month
2008-02-04,DJX,-0.00851136,1,r,Return
2008-02-04,DJX,126.35,2,p,Price
2008-02-04,DJX,0.232261017,9,vol_021,Volatility 1-month
2008-02-04,DJX,0.204980793,11,vol_063,Volatility 3-month
2008-02-05,DJX,-0.02972106,1,r,Return
2008-02-05,DJX,122.65,2,p,Price
2008-02-05,DJX,0.244233178,9,vol_021,Volatility 1-month
2008-02-05,DJX,0.212685348,11,vol_063,Volatility 3-month
2008-02-06,DJX,-0.00531373,1,r,Return
2008-02-06,DJX,122,2,p,Price
2008-02-06,DJX,0.244000867,9,vol_021,Volatility 1-month
2008-02-06,DJX,0.212768201,11,vol_063,Volatility 3-month
2008-02-07,DJX,0.00384506,1,r,Return
2008-02-07,DJX,122.47,2,p,Price
2008-02-07,DJX,0.237391701,9,vol_021,Volatility 1-month
2008-02-07,DJX,0.212032805,11,vol_063,Volatility 3-month
2008-02-08,DJX,-0.00532156,1,r,Return
2008-02-08,DJX,121.82,2,p,Price
2008-02-08,DJX,0.23304292,9,vol_021,Volatility 1-month
2008-02-08,DJX,0.205987103,11,vol_063,Volatility 3-month
2008-02-11,DJX,0.00474983,1,r,Return
2008-02-11,DJX,122.4,2,p,Price
2008-02-11,DJX,0.23080537,9,vol_021,Volatility 1-month
2008-02-11,DJX,0.206337399,11,vol_063,Volatility 3-month
2008-02-12,DJX,0.0108074,1,r,Return
2008-02-12,DJX,123.73,2,p,Price
2008-02-12,DJX,0.22632398,9,vol_021,Volatility 1-month
2008-02-12,DJX,0.205232407,11,vol_063,Volatility 3-month
2008-02-13,DJX,0.01436334,1,r,Return
2008-02-13,DJX,125.52,2,p,Price
2008-02-13,DJX,0.226992665,9,vol_021,Volatility 1-month
2008-02-13,DJX,0.207341479,11,vol_063,Volatility 3-month
2008-02-14,DJX,-0.0140401,1,r,Return
2008-02-14,DJX,123.77,2,p,Price
2008-02-14,DJX,0.219291568,9,vol_021,Volatility 1-month
2008-02-14,DJX,0.202818286,11,vol_063,Volatility 3-month
2008-02-15,DJX,-0.00234581,1,r,Return
2008-02-15,DJX,123.48,2,p,Price
2008-02-15,DJX,0.219236023,9,vol_021,Volatility 1-month
2008-02-15,DJX,0.202620729,11,vol_063,Volatility 3-month
2008-02-19,DJX,-0.00089123,1,r,Return
2008-02-19,DJX,123.37,2,p,Price
2008-02-19,DJX,0.200418797,9,vol_021,Volatility 1-month
2008-02-19,DJX,0.201952505,11,vol_063,Volatility 3-month
2008-02-20,DJX,0.00726865,1,r,Return
2008-02-20,DJX,124.27,2,p,Price
2008-02-20,DJX,0.200555453,9,vol_021,Volatility 1-month
2008-02-20,DJX,0.202263833,11,vol_063,Volatility 3-month
2008-02-21,DJX,-0.01157392,1,r,Return
2008-02-21,DJX,122.84,2,p,Price
2008-02-21,DJX,0.201282425,9,vol_021,Volatility 1-month
2008-02-21,DJX,0.200875459,11,vol_063,Volatility 3-month
2008-02-22,DJX,0.00786544,1,r,Return
2008-02-22,DJX,123.81,2,p,Price
2008-02-22,DJX,0.184327338,9,vol_021,Volatility 1-month
2008-02-22,DJX,0.201402224,11,vol_063,Volatility 3-month
2008-02-25,DJX,0.01514998,1,r,Return
2008-02-25,DJX,125.7,2,p,Price
2008-02-25,DJX,0.189184996,9,vol_021,Volatility 1-month
2008-02-25,DJX,0.201361499,11,vol_063,Volatility 3-month
2008-02-26,DJX,0.00910717,1,r,Return
2008-02-26,DJX,126.85,2,p,Price
2008-02-26,DJX,0.183370388,9,vol_021,Volatility 1-month
2008-02-26,DJX,0.200149798,11,vol_063,Volatility 3-month
2008-02-27,DJX,0.00070925,1,r,Return
2008-02-27,DJX,126.94,2,p,Price
2008-02-27,DJX,0.17759025,9,vol_021,Volatility 1-month
2008-02-27,DJX,0.196732243,11,vol_063,Volatility 3-month
2008-02-28,DJX,-0.00886222,1,r,Return
2008-02-28,DJX,125.82,2,p,Price
2008-02-28,DJX,0.179174675,9,vol_021,Volatility 1-month
2008-02-28,DJX,0.194499395,11,vol_063,Volatility 3-month
2008-02-29,DJX,-0.02543601,1,r,Return
2008-02-29,DJX,122.66,2,p,Price
2008-02-29,DJX,0.200152849,9,vol_021,Volatility 1-month
2008-02-29,DJX,0.193689874,11,vol_063,Volatility 3-month
2008-03-03,DJX,-0.00057085,1,r,Return
2008-03-03,DJX,122.59,2,p,Price
2008-03-03,DJX,0.190176327,9,vol_021,Volatility 1-month
2008-03-03,DJX,0.193599643,11,vol_063,Volatility 3-month
2008-03-04,DJX,-0.00367753,1,r,Return
2008-03-04,DJX,122.14,2,p,Price
2008-03-04,DJX,0.187547964,9,vol_021,Volatility 1-month
2008-03-04,DJX,0.193293456,11,vol_063,Volatility 3-month
2008-03-05,DJX,0.00335118,1,r,Return
2008-03-05,DJX,122.55,2,p,Price
2008-03-05,DJX,0.186874504,9,vol_021,Volatility 1-month
2008-03-05,DJX,0.193440387,11,vol_063,Volatility 3-month
2008-03-06,DJX,-0.01769958,1,r,Return
2008-03-06,DJX,120.4,2,p,Price
2008-03-06,DJX,0.16760982,9,vol_021,Volatility 1-month
2008-03-06,DJX,0.196075007,11,vol_063,Volatility 3-month
2008-03-07,DJX,-0.01220037,1,r,Return
2008-03-07,DJX,118.94,2,p,Price
2008-03-07,DJX,0.171555572,9,vol_021,Volatility 1-month
2008-03-07,DJX,0.194410102,11,vol_063,Volatility 3-month
2008-03-10,DJX,-0.01303226,1,r,Return
2008-03-10,DJX,117.4,2,p,Price
2008-03-10,DJX,0.175213145,9,vol_021,Volatility 1-month
2008-03-10,DJX,0.193265946,11,vol_063,Volatility 3-month
2008-03-11,DJX,0.03490332,1,r,Return
2008-03-11,DJX,121.57,2,p,Price
2008-03-11,DJX,0.216246755,9,vol_021,Volatility 1-month
2008-03-11,DJX,0.207090308,11,vol_063,Volatility 3-month
2008-03-12,DJX,-0.00387358,1,r,Return
2008-03-12,DJX,121.1,2,p,Price
2008-03-12,DJX,0.215873977,9,vol_021,Volatility 1-month
2008-03-12,DJX,0.206280919,11,vol_063,Volatility 3-month
2008-03-13,DJX,0.00296834,1,r,Return
2008-03-13,DJX,121.46,2,p,Price
2008-03-13,DJX,0.212376081,9,vol_021,Volatility 1-month
2008-03-13,DJX,0.202586953,11,vol_063,Volatility 3-month
2008-03-14,DJX,-0.01618494,1,r,Return
2008-03-14,DJX,119.51,2,p,Price
2008-03-14,DJX,0.21110671,9,vol_021,Volatility 1-month
2008-03-14,DJX,0.204437364,11,vol_063,Volatility 3-month
2008-03-17,DJX,0.00175563,1,r,Return
2008-03-17,DJX,119.72,2,p,Price
2008-03-17,DJX,0.207126606,9,vol_021,Volatility 1-month
2008-03-17,DJX,0.20430499,11,vol_063,Volatility 3-month
2008-03-18,DJX,0.03456121,1,r,Return
2008-03-18,DJX,123.93,2,p,Price
2008-03-18,DJX,0.241947677,9,vol_021,Volatility 1-month
2008-03-18,DJX,0.215599637,11,vol_063,Volatility 3-month
2008-03-19,DJX,-0.02392634,1,r,Return
2008-03-19,DJX,121,2,p,Price
2008-03-19,DJX,0.255976508,9,vol_021,Volatility 1-month
2008-03-19,DJX,0.219103924,11,vol_063,Volatility 3-month
2008-03-20,DJX,0.0213409,1,r,Return
2008-03-20,DJX,123.61,2,p,Price
2008-03-20,DJX,0.266092998,9,vol_021,Volatility 1-month
2008-03-20,DJX,0.223429421,11,vol_063,Volatility 3-month
2008-03-24,DJX,0.01509463,1,r,Return
2008-03-24,DJX,125.49,2,p,Price
2008-03-24,DJX,0.267828708,9,vol_021,Volatility 1-month
2008-03-24,DJX,0.225749606,11,vol_063,Volatility 3-month
2008-03-25,DJX,-0.00127582,1,r,Return
2008-03-25,DJX,125.33,2,p,Price
2008-03-25,DJX,0.266753095,9,vol_021,Volatility 1-month
2008-03-25,DJX,0.225621703,11,vol_063,Volatility 3-month
2008-03-26,DJX,-0.00881557,1,r,Return
2008-03-26,DJX,124.23,2,p,Price
